date,open,high,low,close,volume
2020-09-17 04:00:00,2.953,3.036,2.935,3.0,7224.2653
2020-09-17 04:05:00,3.0,3.025,2.885,2.901,17467.3266
2020-09-17 04:10:00,2.901,3.078,2.901,3.078,8413.8889
2020-09-17 04:15:00,3.078,3.095,3.023,3.08,3200.9342
2020-09-17 04:20:00,3.08,3.277,3.063,3.277,5568.4977
2020-09-17 04:25:00,3.277,3.277,3.104,3.104,6428.3416
2020-09-17 04:30:00,3.104,3.141,3.1,3.14,14527.7511
2020-09-17 04:35:00,3.14,3.144,3.037,3.08,21916.6663
2020-09-17 04:40:00,3.068,3.094,3.003,3.048,3672.8358
2020-09-17 04:45:00,3.048,3.06,2.9,2.937,11911.9436
2020-09-17 04:50:00,2.937,2.95,2.931,2.95,1976.768
2020-09-17 04:55:00,2.95,3.09,2.949,3.0,3602.6745
2020-09-17 05:00:00,3.0,3.11,2.967,3.074,4636.2329
2020-09-17 05:05:00,3.074,3.074,2.961,2.995,6793.5144
2020-09-17 05:10:00,2.995,2.995,2.9,2.9,8754.81
2020-09-17 05:15:00,2.9,2.933,2.883,2.905,780.7141
2020-09-17 05:20:00,2.905,2.944,2.905,2.929,3036.39
2020-09-17 05:25:00,2.929,2.939,2.863,2.863,7759.6133
2020-09-17 05:30:00,2.863,2.894,2.836,2.836,7181.2149
2020-09-17 05:35:00,2.836,2.916,2.836,2.896,4595.4751
2020-09-17 05:40:00,2.896,2.912,2.808,2.91,7635.4827
2020-09-17 05:45:00,2.91,2.977,2.865,2.877,2678.2366
2020-09-17 05:50:00,2.877,2.925,2.877,2.909,6143.643
2020-09-17 05:55:00,2.909,2.939,2.883,2.885,8226.2846
2020-09-17 06:00:00,2.885,2.886,2.82,2.82,3276.5276
2020-09-17 06:05:00,2.82,2.837,2.774,2.8,18926.1512
2020-09-17 06:10:00,2.799,2.8,2.71,2.759,23339.7871
2020-09-17 06:15:00,2.759,2.772,2.665,2.695,9423.1189
2020-09-17 06:20:00,2.695,2.695,2.513,2.513,44089.8556
2020-09-17 06:25:00,2.513,2.627,2.51,2.589,20427.5016
2020-09-17 06:30:00,2.589,2.628,2.512,2.581,8798.7659
2020-09-17 06:35:00,2.581,2.581,2.51,2.55,13262.8925
2020-09-17 06:40:00,2.55,2.654,2.55,2.588,5289.4896
2020-09-17 06:45:00,2.588,2.62,2.58,2.58,359.8972
2020-09-17 06:50:00,2.58,2.58,2.542,2.573,12856.9531
2020-09-17 06:55:00,2.573,2.606,2.573,2.605,2942.9585
2020-09-17 07:00:00,2.605,2.62,2.6,2.62,1708.6215
2020-09-17 07:05:00,2.62,2.62,2.57,2.579,4071.055
2020-09-17 07:10:00,2.579,2.587,2.573,2.587,713.43
2020-09-17 07:15:00,2.587,2.764,2.587,2.747,7645.6824
2020-09-17 07:20:00,2.747,2.798,2.681,2.725,5264.7681
2020-09-17 07:25:00,2.725,2.847,2.723,2.79,3262.5153
2020-09-17 07:30:00,2.79,2.79,2.708,2.721,1802.3868
2020-09-17 07:35:00,2.721,2.743,2.657,2.739,19897.432
2020-09-17 07:40:00,2.739,2.81,2.722,2.81,2283.05
2020-09-17 07:45:00,2.81,2.916,2.799,2.874,1388.3952
2020-09-17 07:50:00,2.874,2.977,2.863,2.929,21569.6077
2020-09-17 07:55:00,2.929,2.938,2.88,2.885,27550.0962
2020-09-17 08:00:00,2.885,2.887,2.832,2.858,6356.2635
2020-09-17 08:05:00,2.858,2.927,2.856,2.899,1349.0641
2020-09-17 08:10:00,2.899,2.934,2.889,2.9,2997.9418
2020-09-17 08:15:00,2.9,2.9,2.784,2.793,4266.167
2020-09-17 08:20:00,2.791,2.797,2.736,2.78,8064.7523
2020-09-17 08:25:00,2.78,2.788,2.772,2.788,115.8696
2020-09-17 08:30:00,2.788,2.854,2.778,2.825,5348.9645
2020-09-17 08:35:00,2.825,2.915,2.825,2.872,5727.218
2020-09-17 08:40:00,2.872,2.872,2.788,2.79,1707.0192
